Group,Category,R2_Score,MAE,Sample_Size
Location,Suburban,0.6742207739154067,93.12857729585014,1678
Location,Rural,0.6257413124070413,94.4437307964047,1684
Location,Urban,0.6556096500306573,98.63012217574725,1638
Gender,Female,0.6423402741639976,88.55245428801639,2462
Gender,Male,0.6461750380834996,88.00376208555915,2538
Age_Group,18-25,0.6015932259267418,94.51088874276086,859
Age_Group,46-60,0.5860903430817253,94.84266921185343,1638
Age_Group,36-45,0.6211297496363761,97.11821868062148,1202
Age_Group,26-35,0.6334386494560114,88.11379790073029,1188
